hjd,camera,mag,mag_err,flux,flux_err
2457702.70303,ba,12.362,0.02,43.557,0.801
2457321.75531,ba,12.35,0.02,44.057,0.811
2456937.81889,ba,12.358,0.02,43.731,0.805
2457691.75126,ba,12.351,0.02,43.987,0.809
2457903.93108,ba,12.356,0.02,43.797,0.806
2456597.72497,ba,12.329,0.02,44.9,0.826
2457184.07306,ba,12.368,0.02,43.338,0.797
2456942.7876,ba,12.344,0.02,44.289,0.815
2457255.94581,ba,12.354,0.02,43.902,0.808
2458029.81248,ba,12.364,0.02,43.491,0.8
2457296.83722,ba,12.316,0.02,45.455,0.836
2457938.86533,ba,12.368,0.02,43.316,0.797
2457133.0633,ba,12.343,0.02,44.345,0.816
2456828.96772,ba,12.362,0.02,43.562,0.802
2457828.1303,ba,12.35,0.02,44.036,0.81
2457489.10119,ba,12.357,0.02,43.746,0.805
2457949.05682,ba,12.353,0.02,43.911,0.808
2457203.90819,ba,12.423,0.02,41.19,0.758
2458379.81633,ba,12.349,0.02,44.068,0.811
2457183.11491,ba,12.335,0.02,44.679,0.822
2458344.96946,ba,12.342,0.02,44.373,0.816
2456970.72137,ba,12.338,0.02,44.531,0.819
2457244.91696,ba,12.349,0.02,44.074,0.811
2457175.98383,ba,12.346,0.02,44.229,0.814
2458013.87012,ba,12.359,0.02,43.695,0.804
2457820.14018,ba,12.37,0.02,43.242,0.796
2457277.88035,ba,12.364,0.02,43.471,0.8
2457297.7925,ba,12.34,0.02,44.454,0.818
2456814.98,ba,12.351,0.02,43.994,0.809
2456893.9384,ba,12.351,0.02,44.017,0.81
2457926.98777,ba,12.337,0.02,44.583,0.82
2457558.87227,ba,12.364,0.02,43.494,0.8
2456829.96745,ba,12.356,0.02,43.824,0.806
2457311.78736,ba,12.342,0.02,44.364,0.816
2457305.80679,ba,12.354,0.02,43.892,0.808
2457884.00964,ba,12.336,0.02,44.604,0.821
2457585.78841,ba,12.338,0.02,44.544,0.82
2456737.10213,ba,12.343,0.02,44.341,0.816
2457106.11473,ba,12.37,0.02,43.244,0.796
2457960.8641,ba,12.331,0.02,44.835,0.825
2457580.98485,ba,12.346,0.02,44.217,0.814
2457532.97429,ba,12.346,0.02,44.194,0.813
2457575.98124,ba,12.369,0.02,43.282,0.796
2457238.00804,ba,12.368,0.02,43.323,0.797
2456881.85116,ba,12.335,0.02,44.655,0.822
2457222.91863,ba,12.336,0.02,44.62,0.821
2456891.8722,ba,12.349,0.02,44.102,0.811
2457200.85298,ba,12.401,0.02,42.012,0.773
2457109.10608,ba,12.365,0.02,43.436,0.799
2458281.89736,ba,12.346,0.02,44.22,0.814
2457997.84187,ba,12.344,0.02,44.287,0.815
2457870.10246,ba,12.351,0.02,44.013,0.81
2457451.15057,ba,12.33,0.02,44.857,0.825
2457549.90109,ba,12.353,0.02,43.931,0.808
2456986.68683,ba,12.339,0.02,44.499,0.819
2457901.1043,ba,12.35,0.02,44.032,0.81
2457503.07133,ba,12.339,0.02,44.513,0.819
2457272.85137,ba,12.38,0.02,42.836,0.788
2457303.81129,ba,12.377,0.02,42.976,0.791
2457705.69855,ba,12.342,0.02,44.393,0.817
2457100.14682,ba,12.338,0.02,44.555,0.82
2456914.83636,ba,12.362,0.02,43.556,0.801
2456832.96159,ba,12.352,0.02,43.957,0.809
2457164.01759,ba,12.368,0.02,43.337,0.797
2457212.03899,ba,12.359,0.02,43.679,0.804
2457107.11184,ba,12.34,0.02,44.441,0.818
2456892.877,ba,12.355,0.02,43.846,0.807
2456922.82941,ba,12.363,0.02,43.508,0.801
2457895.07547,ba,12.321,0.02,45.232,0.832
2457493.0522,ba,12.395,0.02,42.247,0.777
2457229.98664,ba,12.367,0.02,43.351,0.798
2457677.71836,ba,12.328,0.02,44.941,0.827
2457900.09613,ba,12.398,0.02,42.13,0.775
2457333.71938,ba,12.345,0.02,44.245,0.814
2457167.95538,ba,12.363,0.02,43.504,0.8
2457263.92958,ba,12.412,0.02,41.596,0.765
2457450.15771,ba,12.421,0.02,41.27,0.759
2457209.0451,ba,12.345,0.02,44.263,0.814
