hjd,camera,mag,mag_err,flux,flux_err
2457138.07727,ba,12.223,0.02,49.524,0.911
2457274.89535,ba,12.147,0.02,53.079,0.977
2458371.84555,ba,12.072,0.02,56.884,1.047
2457669.78886,ba,12.097,0.02,55.618,1.023
2457512.10516,ba,12.222,0.02,49.542,0.912
2458430.70794,ba,12.064,0.02,57.326,1.055
2456920.81854,ba,12.231,0.02,49.162,0.905
2458427.72421,ba,12.143,0.02,53.317,0.981
2457852.07269,ba,12.08,0.02,56.504,1.04
2458313.02553,ba,12.146,0.02,53.144,0.978
2457297.7925,ba,12.215,0.02,49.881,0.918
2457548.01095,ba,12.212,0.02,50.005,0.92
2456917.83987,ba,12.14,0.02,53.469,0.984
2457893.05538,ba,12.181,0.02,51.461,0.947
2457960.8641,ba,12.199,0.02,50.637,0.932
2457992.87065,ba,12.221,0.02,49.626,0.913
2457203.90819,ba,12.142,0.02,53.346,0.982
2457328.73284,ba,12.178,0.02,51.619,0.95
2457848.12077,ba,12.149,0.02,53.009,0.975
2458021.86669,ba,12.197,0.02,50.711,0.933
2457817.14713,ba,12.243,0.02,48.621,0.895
2457132.10282,ba,12.247,0.02,48.44,0.891
2457305.80679,ba,12.261,0.02,47.807,0.88
2457248.98383,ba,12.259,0.02,47.907,0.881
2458291.03335,ba,12.16,0.02,52.465,0.965
2457697.72,ba,12.22,0.02,49.671,0.914
2457580.98485,ba,12.263,0.02,47.726,0.878
2457238.00804,ba,12.162,0.02,52.351,0.963
2457250.881,ba,12.096,0.02,55.668,1.024
2456849.07344,ba,12.26,0.02,47.87,0.881
2457847.08251,ba,12.149,0.02,53.013,0.975
2457905.92122,ba,12.143,0.02,53.284,0.98
2457618.92877,ba,12.082,0.02,56.39,1.038
2457910.01008,ba,12.229,0.02,49.253,0.906
2457688.73136,ba,12.249,0.02,48.353,0.89
2457215.89175,ba,12.131,0.02,53.895,0.992
2457202.98469,ba,12.231,0.02,49.157,0.904
2457949.05682,ba,12.171,0.02,51.917,0.955
2457263.92958,ba,12.138,0.02,53.528,0.985
2458033.76314,ba,12.227,0.02,49.349,0.908
2457506.04198,ba,12.131,0.02,53.897,0.992
2457209.96419,ba,12.209,0.02,50.141,0.923
2457884.00964,ba,12.244,0.02,48.57,0.894
2457314.78602,ba,12.168,0.02,52.065,0.958
2457898.08062,ba,12.094,0.02,55.777,1.026
2456778.06737,ba,12.244,0.02,48.569,0.894
2457901.1043,ba,12.147,0.02,53.096,0.977
